name,price,type,color,side_panel,external_volume,supported_mobo_form_factors,max_gpu_length_mm,max_cpu_cooler_height_mm,psu_form_factor
Montech XR,83.59,ATX Mid Tower,Black,Tempered Glass,45.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Phanteks XT PRO,67.98,ATX Mid Tower,Black,Tempered Glass,51.8,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H5 Flow (2024),84.99,ATX Mid Tower,Black,Tempered Glass,45.0,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 3500X ARGB,115.99,ATX Mid Tower,White,Tempered Glass,55.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Cooler Master MasterBox Q300L,45.98,MicroATX Mini Tower,Black,Acrylic,33.6,"Micro ATX, Mini ITX",330,155,ATX
Corsair 4000D Airflow,94.99,ATX Mid Tower,Black,Tinted Tempered Glass,48.6,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li Lancool 207,81.99,ATX Mid Tower,Blue,Tempered Glass,45.5,"ATX, Micro ATX, Mini ITX",360,170,ATX
NZXT H9 Flow (2023),119.99,ATX Mid Tower,Black,Tempered Glass,66.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,White,Tempered Glass,57.4,"ATX, Micro ATX, Mini ITX",360,170,ATX
Corsair 3500X ARGB,115.99,ATX Mid Tower,Black,Tempered Glass,55.9,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech AIR 100 ARGB,69.9,MicroATX Mid Tower,Black,Tempered Glass,36.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
Montech AIR 903 MAX,74.99,ATX Mid Tower,Black,Tempered Glass,54.2,"ATX, Micro ATX, Mini ITX",360,170,ATX
Lian Li A3-mATX,72.98,MicroATX Mini Tower,Black,Mesh,26.3,"Micro ATX, Mini ITX",330,155,ATX
Fractal Design North,139.99,ATX Mid Tower,Black,Tempered Glass,45.1,"ATX, Micro ATX, Mini ITX",360,170,ATX
HYTE Y70 Touch Infinite,439.95,ATX Mid Tower,White,Tempered Glass,70.7,"ATX, Micro ATX, Mini ITX",360,170,ATX
