name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 990 Pro,149.99,2000.0,0.075,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,56.95,1000.0,0.057,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,113.95,2000.0,0.057,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,299.99,4000.0,0.075,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,58.0,1000.0,0.058,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,99.99,1000.0,0.1,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,129.99,2000.0,0.065,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X2
Western Digital WD_Black SN850X,154.54,2000.0,0.077,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,92.97,2000.0,0.046,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO,429.99,4000.0,0.107,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 EVO Plus,74.98,1000.0,0.075,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X2
Seagate Barracuda Compute,66.99,2000.0,0.033,HDD,256.0,3.5,SATA 6.0 Gb/s
Klevv CRAS C910,57.99,1000.0,0.058,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,77.98,1000.0,0.078,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,44.99,500.0,0.09,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,124.99,2000.0,0.062,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,92.9,1000.0,0.093,SSD,1024.0,2.5,SATA 6.0 Gb/s
Western Digital WD_Black SN850X,599.5,8000.0,0.075,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X,268.35,4000.0,0.067,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO,229.99,2000.0,0.115,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
Kingston NV3,114.5,2000.0,0.057,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,211.45,4000.0,0.053,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
