name,price,speed,color,memory_type,capacity_gb,module_count
Corsair Vengeance RGB,94.99,6000,Black,DDR5,32,2
G.Skill Flare X5,89.99,6000,Black,DDR5,32,2
Corsair Vengeance LPX,45.99,3200,Black / Yellow,DDR4,16,2
Corsair Vengeance,129.99,6000,Black / Gray,DDR5,32,2
TEAMGROUP T-Create Expert,98.99,6000,Black,DDR5,32,2
Corsair Vengeance LPX,77.98,3600,Black / Yellow,DDR4,32,2
Crucial Pro Overclocking,84.99,6000,Black,DDR5,32,2
G.Skill Trident Z5 RGB,112.99,6000,Black,DDR5,32,2
Kingston FURY Beast,48.99,6000,Black,DDR5,16,2
G.Skill Ripjaws S5,94.99,6000,Black,DDR5,32,2
Patriot Viper Venom,89.99,6000,Black / Silver,DDR5,32,2
Crucial Classic,19.99,2666,Green,DDR4,8,1
G.Skill Trident Z5 Neo RGB,112.99,6000,Black,DDR5,32,2
G.Skill Ripjaws V,52.99,3600,Black,DDR4,32,2
Silicon Power Value Gaming,75.97,3200,DDR4,DDR4,32,2
G.Skill Ripjaws V,34.99,3200,Black,DDR4,16,2
Corsair Vengeance,94.99,6000,Black,DDR5,32,2
G.Skill Ripjaws V,48.99,3200,Black,DDR4,32,2
Kingston FURY Renegade RGB,171.99,6000,Black / Silver,DDR5,48,2
Crucial Classic,35.97,2666,Green,DDR4,16,2
Lexar Thor OC,104.99,6000,White,DDR5,32,2
TEAMGROUP Elite,31.99,3200,Black,DDR4,16,2
Crucial Pro,68.95,5600,Black,DDR5,32,2
ADATA XPG Lancer Blade RGB,109.99,6000,Black,DDR5,32,2
Mushkin Redline ST,92.99,6000,White,DDR5,32,2
G.Skill Trident Z Neo,109.99,3600,Black / Silver,DDR4,32,2
G.Skill Trident Z5 RGB,179.99,6400,Black,DDR5,64,2
G.Skill Trident Z5 RGB,112.99,6400,Black,DDR5,32,2
G.Skill Flare X5,102.99,6000,Black,DDR5,32,2
G.Skill Trident Z5 RGB,112.99,6000,Silver,DDR5,32,2
Crucial Pro,44.49,5600,Black,DDR5,16,2
G.Skill Trident Z5 Neo,112.99,6000,Black,DDR5,32,2
Silicon Power XPOWER Zenith Gaming,81.99,6000,Black,DDR5,32,2
G.Skill Trident Z5 RGB,194.99,6000,Black,DDR5,64,2
Patriot Viper Steel,34.99,3200,Black / Silver,DDR4,16,2
Mushkin Redline ST,92.99,6000,Black,DDR5,32,2
